danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,name,artist,genre
0.687,0.778,1,-6.623,0,0.101,0.209,0.0,0.117,0.865,172.047,0AAl3LtvIhEilWXZmYHeh5,240733,4,More,Zion,Reggaeton
0.826,0.532,9,-11.731,1,0.238,0.292,0.0,0.075,0.45,92.003,1DdrejuwM8C3ExsXaPAgF8,207786,4,Noche de Travesura,"Héctor ""El Father""",Reggaeton
0.823,0.766,5,-9.413,1,0.0985,0.0431,0.00155,0.0877,0.465,95.014,5sdJLWWRs9xKYCIDtubkjb,214947,4,Sacala a Bailar,Jowell & Randy,Reggaeton
0.808,0.697,10,-5.899,1,0.241,0.041,0.0,0.0546,0.554,95.06,5gflgO9EPbIBf16n5TKnQS,232020,4,Yo Voy (feat. Daddy Yankee),Zion & Lennox,Reggaeton
0.887,0.701,4,-5.892,0,0.0873,0.106,0.00948,0.0466,0.965,110.002,48NXpYRuvv9izul4oXhqS9,315293,4,Salió El Sol,Don Omar,Reggaeton
0.755,0.887,6,-5.475,0,0.179,0.137,1.24e-06,0.0853,0.821,99.036,6WpzXjdGVrAhRMO5F0yBD8,181373,4,Él No Se Va A Entrar,Arcangel,Reggaeton
0.783,0.824,0,-4.973,1,0.123,0.214,0.0,0.102,0.726,93.998,0kwaKhIcaezQuShga1djFA,187080,4,Baila Morena - Original Reggaeton Mix,Hector & Tito,Reggaeton
0.884,0.743,11,-7.65,1,0.112,0.116,0.00011,0.127,0.781,95.997,4euqcj46E0OZBiz0NjR4mO,212480,4,Aquí Está Tu Caldo,Daddy Yankee,Reggaeton
0.756,0.86,9,-3.239,0,0.0437,0.244,0.000475,0.0839,0.793,93.984,3AIHwmTEQQSzQucZLxqNGg,206160,4,Hello,Zion,Reggaeton
0.744,0.837,9,-5.082,0,0.0703,0.336,0.0,0.229,0.706,92.04,2MrP2Sv5Zbj1qckTKD1pVn,293773,4,"Hoy (feat. Daddy Yankee, J-Alvarez & Jory)",Farruko,Reggaeton
0.675,0.921,4,-6.083,1,0.0365,0.0466,0.00618,0.117,0.7,97.01,2KtNeULMaw8sFkr8w13WWB,252493,4,Ven Bailalo,Angel Y Khriz,Reggaeton
0.732,0.708,9,-7.905,0,0.262,0.534,0.0,0.237,0.717,175.924,6G4U9avyBNEfP0fAIduev3,267787,4,Ella Y Yo - Featuring Don Omar,Aventura,Reggaeton
0.768,0.932,0,-3.841,1,0.0617,0.0804,0.00267,0.256,0.814,82.037,5GGecqjnP2hvrhhfFAl4VO,169400,4,Wiki Wiki,Yaviah,Reggaeton
0.412,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74,0hCB0YR03f6AmQaHbwWDe8,333893,4,Whole Lotta Love - 1990 Remaster,Led Zeppelin,Rock
0.438,0.805,8,-6.237,1,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253,2aoo2jlRnM3A0NyLQqMN2f,240800,4,All Along the Watchtower,Jimi Hendrix,Rock
0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,08mG3Y1vljYA6bvDt4Wqkj,255493,4,Back In Black,AC/DC,Rock
0.505,0.836,5,-7.384,0,0.101,0.0103,0.0771,0.295,0.764,159.669,1RJeiAIwR9pZBgJA8ndZLL,204480,4,"Paint It, Black - Mono",The Rolling Stones,Rock
0.676,0.92,9,-7.96,1,0.0435,0.00101,8.65e-06,0.248,0.624,126.341,66lOpKgTyFjOrac4S1s94g,269360,4,Rebel Rebel - 1999 Remaster,David Bowie,Rock
0.533,0.376,9,-11.913,0,0.0393,0.0302,0.248,0.0926,0.187,165.007,2EqlS6tkEnglzr7tkKAAYD,259947,4,Come Together - Remastered 2009,The Beatles,Rock
0.742,0.833,2,-6.463,1,0.115,0.079,0.0,0.384,0.816,113.375,39shmbIHICJ2Wxnk1fPSdz,188987,4,Should I Stay or Should I Go - Remastered,The Clash,Rock
0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292,2KmEgiY8fQs0G6WNxtzQKr,300400,4,Baba O'Riley,The Who,Rock
0.38,0.76,9,-10.961,1,0.0378,0.00298,0.0294,0.104,0.491,99.437,24NwBd5vZ2CK8VOQVnqdxr,274133,4,Sweet Emotion,Aerosmith,Rock
0.933,0.528,5,-6.472,0,0.162,0.112,0.329,0.163,0.756,109.975,57JVGBtBLCfHw2muk5416J,214653,4,Another One Bites The Dust - Remastered 2011,Queen,Rock
0.413,0.725,3,-5.787,0,0.0324,0.369,2.16e-05,0.0905,0.44,124.618,5uvosCdMlFdTXhoazkTI5R,429760,4,Light My Fire,The Doors,Rock
0.545,0.64,4,-9.937,0,0.224,0.00249,0.0304,0.196,0.606,80.544,70YvYr2hGlS01bKRIho1HM,230480,4,La Grange - 2005 Remaster,ZZ Top,Rock
0.55,0.824,2,-5.988,1,0.0334,0.448,0.000127,0.366,0.777,114.512,7MRyJPksH3G2cXHN8UKYzP,214733,4,American Girl,Tom Petty and the Heartbreakers,Rock
0.273,0.952,11,-8.762,1,0.0843,0.0169,0.0111,0.142,0.472,100.271,3YBZIN3rekqsKxbJc9FZko,405640,4,Paradise City,Guns N' Roses,Rock
